SN,Date,VCM_M1_FPC_UpCoil_Attach_MC_ID,VCM_Glue_lot_ID_1,VCM_M1_FPC_UpCoil_Attach_Staging_time,VCM_M1_FPC_UpCoil_Attach_End_Time,VCM_Feature_1,VCM_Feature_2,VCM_Feature_3,VCM_Feature_4,VCM_Feature_5,VCM_Feature_6,VCM_Feature_7,VCM_Feature_8,VCM_Feature_9,VCM_Feature_10,VCM_Feature_11,VCM_Feature_12,VCM_Feature_13,VCM_Feature_14,VCM_Feature_15,VCM_Feature_16,VCM_Feature_17,VCM_Feature_18,VCM_Feature_19,VCM_Feature_20,VCM_Feature_21,VCM_Feature_22,VCM_Feature_23,VCM_Feature_24,VCM_Feature_25,VCM_Feature_26,VCM_Feature_27,VCM_Feature_28,VCM_Feature_29,VCM_Feature_30,VCM_Feature_31,VCM_Feature_32,VCM_Feature_33,VCM_Feature_34,VCM_Feature_35,VCM_Feature_36,VCM_Feature_37,VCM_Feature_38,VCM_Feature_39,VCM_Feature_40,VCM_Feature_41,VCM_Feature_42,VCM_Feature_43,VCM_Feature_44,Results,Failed_Station,Failure_Mode,VCM_M1_Constant_Feature
SN000000,2026-05-10 08:00:00,MC_002,LOT_2005,20,2026-05-10 08:13:00,Normal,Medium,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,PASS,,,Standby
SN000001,2026-05-10 08:02:18,MC_001,LOT_2001,20,2026-05-10 08:07:18,Normal,Medium,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,PASS,,,Normal
SN000002,2026-05-10 08:04:36,MC_001,LOT_2005,20,2026-05-10 08:16:36,Normal,Medium,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_2,VAL_3,PASS,,,Locked
SN000003,2026-05-10 08:06:54,MC_001,LOT_2002,20,2026-05-10 08:15:54,Normal,Medium,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_2,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_3,VAL_1,PASS,,,Normal
SN000004,2026-05-10 08:09:12,MC_004,LOT_2001,10,2026-05-10 08:15:12,Normal,Medium,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,PASS,,,Normal
SN000005,2026-05-10 08:11:31,MC_004,LOT_2001,20,2026-05-10 08:22:31,Normal,Slow,VAL_3,VAL_3,VAL_2,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,PASS,,,Normal
SN000006,2026-05-10 08:13:49,MC_004,LOT_2001,10,2026-05-10 08:25:49,High,Fast,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_1,VAL_2,VAL_3,VAL_2,VAL_1,VAL_1,VAL_1,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_1,VAL_1,VAL_1,VAL_2,VAL_2,VAL_2,VAL_1,VAL_2,FAIL,METROLOGY,TILT_NG,Locked
SN000007,2026-05-10 08:16:07,MC_005,LOT_2002,10,2026-05-10 08:26:07,Normal,Medium,VAL_2,VAL_1,VAL_2,VAL_2,VAL_2,VAL_2,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_1,PASS,,,Standby
SN000008,2026-05-10 08:18:25,MC_001,LOT_2003,10,2026-05-10 08:25:25,High,Medium,VAL_1,VAL_3,VAL_3,VAL_1,VAL_3,VAL_1,VAL_2,VAL_3,VAL_3,VAL_3,VAL_3,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_1,VAL_2,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_3,VAL_3,VAL_1,VAL_1,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_2,VAL_1,VAL_1,VAL_2,PASS,,,Locked
SN000009,2026-05-10 08:20:44,MC_004,LOT_2002,20,2026-05-10 08:27:44,Normal,Medium,VAL_3,VAL_3,VAL_2,VAL_3,VAL_3,VAL_3,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_1,VAL_1,VAL_2,VAL_1,VAL_1,VAL_3,VAL_3,VAL_1,VAL_2,VAL_2,VAL_3,VAL_1,VAL_3,VAL_2,VAL_1,VAL_3,VAL_3,VAL_2,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_3,VAL_2,VAL_2,VAL_1,VAL_1,VAL_2,VAL_1,VAL_3,PASS,,,Standby
